"Start Date","End Date","Area","Pollster","Client","Party","Voting Intention"
"2026-01-14","2026-01-15","Great Britain","Techne","NA","Reform UK","28"
"2026-01-14","2026-01-15","United Kingdom","Techne","NA","Reform UK","28"
"2026-01-14","2026-01-15","Great Britain","Techne","NA","Conservative","20"
"2026-01-14","2026-01-15","United Kingdom","Techne","NA","Conservative","20"
"2026-01-14","2026-01-15","Great Britain","Techne","NA","Labour","19"
"2026-01-14","2026-01-15","United Kingdom","Techne","NA","Labour","19"
"2026-01-14","2026-01-15","Great Britain","Techne","NA","Liberal Democrats","15"
"2026-01-14","2026-01-15","United Kingdom","Techne","NA","Liberal Democrats","15"
"2026-01-14","2026-01-15","Great Britain","Techne","NA","Green Party","13"
"2026-01-14","2026-01-15","United Kingdom","Techne","NA","Green Party","13"
"2026-01-14","2026-01-15","Great Britain","Techne","NA","SNP","2"
"2026-01-14","2026-01-15","United Kingdom","Techne","NA","SNP","2"
"2026-01-10","2026-01-14","Great Britain","Survation","NA","Reform UK","29"
"2026-01-14","2026-01-14","Great Britain","FindOutNow","NA","Reform UK","28"
"2026-01-10","2026-01-14","Great Britain","Survation","NA","Labour","21"
"2026-01-10","2026-01-14","Great Britain","Survation","NA","Conservative","19"
"2026-01-14","2026-01-14","Great Britain","FindOutNow","NA","Conservative","19"
"2026-01-14","2026-01-14","Great Britain","FindOutNow","NA","Green Party","18"
"2026-01-14","2026-01-14","Great Britain","FindOutNow","NA","Labour","15"
"2026-01-14","2026-01-14","Great Britain","FindOutNow","NA","Liberal Democrats","12"
"2026-01-10","2026-01-14","Great Britain","Survation","NA","Green Party","11"
"2026-01-10","2026-01-14","Great Britain","Survation","NA","Liberal Democrats","11"
"2026-01-14","2026-01-14","Great Britain","FindOutNow","NA","SNP","3"
"2026-01-10","2026-01-14","Great Britain","Survation","NA","SNP","2"
"2026-01-10","2026-01-14","Great Britain","Survation","NA","Plaid Cymru","1"
"2026-01-14","2026-01-14","Great Britain","FindOutNow","NA","Plaid Cymru","1"
"2026-01-10","2026-01-13","Great Britain","More in Common","NA","Reform UK","31"
"2026-01-10","2026-01-13","Great Britain","More in Common","NA","Conservative","21"
"2026-01-10","2026-01-13","Great Britain","More in Common","NA","Labour","19"
"2026-01-10","2026-01-13","Great Britain","More in Common","NA","Green Party","12"
"2026-01-10","2026-01-13","Great Britain","More in Common","NA","Liberal Democrats","12"
"2026-01-10","2026-01-13","Great Britain","More in Common","NA","SNP","2"
"2026-01-10","2026-01-13","Great Britain","More in Common","NA","Plaid Cymru","1"
"2026-01-05","2026-01-12","Wales","YouGov","Barn Cymru","Plaid Cymru","29"
"2026-01-05","2026-01-12","Wales","YouGov","Barn Cymru","Reform UK","25"
"2026-01-11","2026-01-12","Great Britain","YouGov","Times","Reform UK","24"
"2026-01-11","2026-01-12","Great Britain","YouGov","Times","Conservative","20"
"2026-01-11","2026-01-12","Great Britain","YouGov","Times","Labour","19"
"2026-01-11","2026-01-12","Great Britain","YouGov","Times","Liberal Democrats","16"
"2026-01-11","2026-01-12","Great Britain","YouGov","Times","Green Party","14"
"2026-01-05","2026-01-12","Wales","YouGov","Barn Cymru","Labour","13"
"2026-01-05","2026-01-12","Wales","YouGov","Barn Cymru","Conservative","12"
"2026-01-05","2026-01-12","Wales","YouGov","Barn Cymru","Green Party","12"
"2026-01-05","2026-01-12","Wales","YouGov","Barn Cymru","Liberal Democrats","6"
"2026-01-11","2026-01-12","Great Britain","YouGov","Times","SNP","4"
"2026-01-11","2026-01-12","Great Britain","YouGov","Times","Plaid Cymru","1"
"2026-01-07","2026-01-09","Great Britain","Opinium","Observer","Reform UK","31"
"2026-01-07","2026-01-09","Great Britain","Opinium","Observer","Labour","20"
"2026-01-07","2026-01-09","Great Britain","Opinium","Observer","Conservative","18"
"2026-01-07","2026-01-09","Great Britain","Opinium","Observer","Green Party","13"
"2026-01-07","2026-01-09","Great Britain","Opinium","Observer","Liberal Democrats","12"
"2026-01-07","2026-01-09","Great Britain","Opinium","Observer","SNP","2"
